table,column,n_missing,pct_missing,n_invalid,invalid_note
demographics,empi_anon,0,0.0,0,
demographics,sex,0,0.0,0,
demographics,race,0,0.0,0,
demographics,ethnicity,0,0.0,0,
cpt,empi_anon,0,0.0,0,
cpt,cpt_code,0,0.0,0,
cpt,cpt_group_modifier,6169473,99.248,0,
cpt,date_anon,0,0.0,0,
cpt,age_at_procedure,0,0.0,0,
icd,empi_anon,0,0.0,0,
icd,ICD9,0,0.0,548126,'--' = no-ICD9 sentinel on this diagnosis line
icd,ICD10,0,0.0,7507093,'--' = no-ICD10 sentinel (ICD-9-coded or unmapped line); excluded from ICD10->DX_NAME join
icd,date_anon,0,0.0,0,
icd,age_at_dx,0,0.0,0,
icd,DX_LINE,0,0.0,0,
icd,DX_ICD_SCOPE,0,0.0,0,
icd,autoimmune,0,0.0,0,
icd,diabetes,0,0.0,0,
icd,hypertension,0,0.0,0,
icd,joint_infection,0,0.0,0,
icd,knee_osteoarthritis,0,0.0,0,
icd,knee_osteomyelitis,0,0.0,0,
icd,obesity,0,0.0,0,
icd,nicotine_use,0,0.0,0,
icd,trauma_lower_extremity,0,0.0,0,
image,empi_anon,0,0.0,0,
image,StudyInstanceUID_anon,0,0.0,0,
image,SeriesInstanceUID_anon,0,0.0,0,
image,SOPInstanceUID_anon,0,0.0,0,
image,img_height,0,0.0,0,
image,img_width,0,0.0,0,
image,laterality,0,0.0,682,'-1' = unknown/unresolved laterality (model could not assign a side); excluded
image,view_position,0,0.0,0,
image,horizontal_flip,0,0.0,0,
image,weight_bearing,0,0.0,0,
image,inverted,0,0.0,0,
image,arthroplasty,0,0.0,0,
image,L_KLG_inference,413465,82.157,0,
image,R_KLG_inference,414705,82.404,0,
image,SeriesDescription,128540,25.541,0,
image,StudyDescription,0,0.0,0,
image,StudyDate_anon,0,0.0,0,
image,age_at_exam,0,0.0,0,
image,dicom_path,0,0.0,0,
pain,empi_anon,0,0.0,0,
pain,pain_location,3725562,74.948,0,
pain,knee_pain,0,0.0,0,
pain,pain_score,0,0.0,0,
pain,laterality,4724556,95.045,0,
pain,date_anon,0,0.0,0,
cpt_dictionary,cpt_code,0,0.0,0,
cpt_dictionary,cpt_description,0,0.0,0,
icd_dictionary,ICD9,0,0.0,0,
icd_dictionary,ICD10,0,0.0,0,
icd_dictionary,DX_NAME,0,0.0,0,
