column,kind,primary_predictor,scope,n,n_missing,pct_missing
age_at_index,predictor,1,overall,3709,0,0.0
age_at_index,predictor,1,train,2597,0,0.0
age_at_index,predictor,1,val,371,0,0.0
age_at_index,predictor,1,test,741,0,0.0
sex_female,predictor,1,overall,3709,0,0.0
sex_female,predictor,1,train,2597,0,0.0
sex_female,predictor,1,val,371,0,0.0
sex_female,predictor,1,test,741,0,0.0
days_to_index,predictor,1,overall,3709,0,0.0
days_to_index,predictor,1,train,2597,0,0.0
days_to_index,predictor,1,val,371,0,0.0
days_to_index,predictor,1,test,741,0,0.0
knee_pain_any,predictor,1,overall,3709,0,0.0
knee_pain_any,predictor,1,train,2597,0,0.0
knee_pain_any,predictor,1,val,371,0,0.0
knee_pain_any,predictor,1,test,741,0,0.0
pain_score_max,predictor,1,overall,3709,268,7.2257
pain_score_max,predictor,1,train,2597,172,6.623
pain_score_max,predictor,1,val,371,36,9.7035
pain_score_max,predictor,1,test,741,60,8.0972
obesity,predictor,1,overall,3709,0,0.0
obesity,predictor,1,train,2597,0,0.0
obesity,predictor,1,val,371,0,0.0
obesity,predictor,1,test,741,0,0.0
diabetes,predictor,1,overall,3709,0,0.0
diabetes,predictor,1,train,2597,0,0.0
diabetes,predictor,1,val,371,0,0.0
diabetes,predictor,1,test,741,0,0.0
hypertension,predictor,1,overall,3709,0,0.0
hypertension,predictor,1,train,2597,0,0.0
hypertension,predictor,1,val,371,0,0.0
hypertension,predictor,1,test,741,0,0.0
autoimmune,predictor,1,overall,3709,0,0.0
autoimmune,predictor,1,train,2597,0,0.0
autoimmune,predictor,1,val,371,0,0.0
autoimmune,predictor,1,test,741,0,0.0
nicotine_use,predictor,1,overall,3709,0,0.0
nicotine_use,predictor,1,train,2597,0,0.0
nicotine_use,predictor,1,val,371,0,0.0
nicotine_use,predictor,1,test,741,0,0.0
trauma_lower_extremity,predictor,1,overall,3709,0,0.0
trauma_lower_extremity,predictor,1,train,2597,0,0.0
trauma_lower_extremity,predictor,1,val,371,0,0.0
trauma_lower_extremity,predictor,1,test,741,0,0.0
klg_contra,predictor,0,overall,3709,143,3.8555
klg_contra,predictor,0,train,2597,97,3.7351
klg_contra,predictor,0,val,371,12,3.2345
klg_contra,predictor,0,test,741,34,4.5884
klg_contra_missing,missing_indicator,0,overall,3709,0,0.0
klg_contra_missing,missing_indicator,0,train,2597,0,0.0
klg_contra_missing,missing_indicator,0,val,371,0,0.0
klg_contra_missing,missing_indicator,0,test,741,0,0.0
pain_score_max_missing,missing_indicator,0,overall,3709,0,0.0
pain_score_max_missing,missing_indicator,0,train,2597,0,0.0
pain_score_max_missing,missing_indicator,0,val,371,0,0.0
pain_score_max_missing,missing_indicator,0,test,741,0,0.0
age_at_index_imp,imputed,0,overall,3709,0,0.0
age_at_index_imp,imputed,0,train,2597,0,0.0
age_at_index_imp,imputed,0,val,371,0,0.0
age_at_index_imp,imputed,0,test,741,0,0.0
sex_female_imp,imputed,0,overall,3709,0,0.0
sex_female_imp,imputed,0,train,2597,0,0.0
sex_female_imp,imputed,0,val,371,0,0.0
sex_female_imp,imputed,0,test,741,0,0.0
days_to_index_imp,imputed,0,overall,3709,0,0.0
days_to_index_imp,imputed,0,train,2597,0,0.0
days_to_index_imp,imputed,0,val,371,0,0.0
days_to_index_imp,imputed,0,test,741,0,0.0
knee_pain_any_imp,imputed,0,overall,3709,0,0.0
