section,metric,stratum,value
cohort,n_patients_index_final,all,6381.0
eligibility_presence,n_eligible_study_365d,all,3583.0
eligibility_presence,n_eligible_study_730d,all,3981.0
eligibility_presence,n_eligible_study_1095d,all,4148.0
eligibility_presence,n_eligible_study_365d,coded,1807.0
eligibility_presence,n_eligible_study_730d,coded,2081.0
eligibility_presence,n_eligible_study_1095d,coded,2199.0
eligibility_presence,n_eligible_study_365d,recovered,1776.0
eligibility_presence,n_eligible_study_730d,recovered,1900.0
eligibility_presence,n_eligible_study_1095d,recovered,1949.0
eligibility_presence,primary_window_days,all,730.0
eligibility_presence,n_selected_primary,all,3981.0
selected_tier,tier1_wb_frontal_lateral_sunrise,all,137.0
selected_tier,tier2_wb_frontal_plus_any,all,1427.0
selected_tier,tier3_frontal_only,all,2016.0
selected_tier,tier4_nonwb_frontal,all,380.0
selected_tier,tier5_no_frontal,all,21.0
selected_view_set,frontal,all,2194.0
selected_view_set,frontal+lateral,all,1568.0
selected_view_set,frontal+lateral+other,all,26.0
selected_view_set,frontal+lateral+sunrise,all,151.0
selected_view_set,frontal+other,all,2.0
selected_view_set,frontal+sunrise,all,19.0
selected_view_set,lateral,all,8.0
selected_view_set,lateral+other,all,3.0
selected_view_set,lateral+sunrise,all,2.0
selected_view_set,lateral+sunrise+other,all,3.0
selected_view_set,sunrise,all,5.0
selected_weight_bearing,weight_bearing_frontal_true,all,3580.0
selected_weight_bearing,weight_bearing_frontal_false,all,401.0
selected_weight_bearing,any_weight_bearing_true,all,3590.0
selected_weight_bearing,any_weight_bearing_false,all,391.0
selected_composition,multi_view_wb_frontal(tier1_2),all,1564.0
selected_composition,frontal_only_wb(tier3),all,2016.0
selected_composition,nonwb_frontal(tier4),all,380.0
selected_composition,no_frontal(tier5),all,21.0
selected_laterality_kind,bilateral_B,all,3821.0
selected_laterality_kind,unilateral_contra,all,160.0
selected_days_to_index,median,all,97.0
selected_days_to_index,q1,all,48.0
selected_days_to_index,q3,all,225.0
selected_days_to_index,min,all,1.0
selected_days_to_index,max,all,729.0
path_availability,n_selected_study_images,all,6578.0
path_availability,pct_images_nonempty_dicom_path,all,100.0
