arm,method,view,region,n_images,area_fraction,mean,sd,median,q25,q75,max,n_images_nonzero,enrichment_vs_area
m2_frontal,gradcam,frontal,joint,858,0.25,0.3780133825553387,0.1308550641163288,0.3646668404326999,0.2818147650253133,0.4652737544925051,0.7775027088164557,858,1.5120535302213547
m2_frontal,gradcam,frontal,border,858,0.2275238037109375,0.0837282118344034,0.0474147277105233,0.0747485287030993,0.0453914388809301,0.1151285386562371,0.2438721565537145,858,0.3679975917630918
m2_frontal,gradcam,frontal,peripheral,858,0.5224761962890625,0.538258405610258,0.1042699336726999,0.5477474001248017,0.4698648041877889,0.6171572164304212,0.8014666266619022,858,1.0302065614343583
m2_frontal,gradcam,frontal,medial,858,0.125,0.1817333227396217,0.104786956559324,0.1596936933569915,0.105780677008773,0.2447205321040123,0.5890929090067101,858,1.4538665819169736
m2_frontal,gradcam,frontal,lateral,858,0.125,0.1962800598157169,0.0956351823747834,0.1869164568798651,0.1250964983250453,0.256187604059864,0.502832610495839,857,1.5702404785257356
m2_frontal,gradcam,frontal,patellofemoral,858,0.0625,0.0960359939570978,0.0627016463208005,0.0803508965916871,0.0531530827136239,0.1216471818764348,0.4105821881286536,858,1.5365759033135649
m2_frontal,integrated_gradients,frontal,joint,230,0.25,0.5579289171397366,0.11637669917381,0.5825708518373922,0.4763792976310961,0.6449064012072246,0.784304441840077,230,2.2317156685589463
m2_frontal,integrated_gradients,frontal,border,230,0.2275238037109375,5.575712418767691e-06,3.6905040151390784e-05,0.0,0.0,0.0,0.00048968844649,18,2.45060619057313e-05
m2_frontal,integrated_gradients,frontal,peripheral,230,0.5224761962890625,0.4420655071478448,0.1163766676612073,0.4174291481626077,0.3550814995631426,0.5236207023689039,0.7730515007644415,230,0.8460969328127437
m2_frontal,integrated_gradients,frontal,medial,230,0.125,0.3051788506104385,0.0904466139916387,0.3168738252128685,0.240834180378513,0.3716853374545137,0.5351593387431132,230,2.4414308048835083
m2_frontal,integrated_gradients,frontal,lateral,230,0.125,0.2527500665292979,0.1076864660001934,0.2669604368504081,0.1881283844854133,0.3296823783802246,0.4906744664072269,230,2.0220005322343835
m2_frontal,integrated_gradients,frontal,patellofemoral,230,0.0625,0.1397537402138659,0.0823177166365039,0.1052325480663552,0.0773399634405802,0.2070440485820124,0.4125081975996974,230,2.236059843421855
