arm,condition,description,n_patients,n_events,auroc_5y,delta_auroc,delta_auroc_lo,delta_auroc_hi,p_boot,mean_risk_5y,mean_delta_risk_5y,mean_abs_delta_risk_5y,sd_delta_risk_5y,spearman_vs_baseline,n_identical_to_baseline,n_max_tied_risk,n_distinct_risk,note,seconds
m2_frontal,baseline,"unperturbed, local fp32",734,106,0.8366918532659895,0.0,0.0,0.0,,0.147840381509827,0.0,0.0,0.0,1.0,734,1,734,"Locally recomputed unperturbed reference. Every Δ in this table is against this row, formed inside one process on one device, never against a published per-patient risk.",39.54213500022888
m2_frontal,occlude_medial,zero medial,734,106,0.8265241553578586,-0.0101676979081308,-0.0386714633085089,0.0187573608634079,0.464,0.1707435400138919,0.0229031585040648,0.0546470659780213,0.0740638781392311,0.8584949754349627,0,1,734,"ANATOMIC OCCLUSION. Δ AUROC -0.0102 (95% CI -0.0387, +0.0188). The interval includes zero, so this row does not establish a compartment ranking. Interpret the direction and size of the mean risk shift, not the ordering of Δ AUROC across regions.",38.9282169342041
m2_frontal,occlude_lateral,zero lateral,734,106,0.8192123648163916,-0.0174794884495979,-0.0382514589317485,0.0016070183865172,0.075,0.1422109610011287,-0.0056294205086982,0.0293090785792641,0.0435196972944666,0.9577169858542316,1,1,734,"ANATOMIC OCCLUSION. Δ AUROC -0.0175 (95% CI -0.0383, +0.0016). The interval includes zero, so this row does not establish a compartment ranking. Interpret the direction and size of the mean risk shift, not the ordering of Δ AUROC across regions.",38.97902512550354
m2_frontal,occlude_patellofemoral,zero patellofemoral,734,106,0.8263560481873556,-0.0103358050786338,-0.0242517387856023,0.0028359526622869,0.106,0.144676622169,-0.003163759340827,0.0231871870233974,0.0400517166221097,0.9584646678965182,0,1,734,"ANATOMIC OCCLUSION. Δ AUROC -0.0103 (95% CI -0.0243, +0.0028). The interval includes zero, so this row does not establish a compartment ranking. Interpret the direction and size of the mean risk shift, not the ordering of Δ AUROC across regions.",38.78862690925598
m2_frontal,occlude_border,zero border,734,106,0.8364658465747568,-0.0002260066912327,-0.0009194077682368,0.0,0.723,0.1478521702462577,1.1788736430662756e-05,6.009847781593724e-05,0.0003607445505482,0.99999138188644,677,1,734,"PIPELINE VALIDATION, NOT A LEAKAGE TEST. The band the pipeline already blanks is re-blanked, so every crop whose band is exactly zero must return a bit-identical risk - 677 of 734 patients do, which is what makes this row a proof that the perturbation path is exact and that MPS scoring is deterministic within a session. It bounds only what an already-blank band could contribute; it does not test burned-in text.",38.96287369728088
m2_frontal,occlude_joint,zero joint,734,106,0.7996887981233791,-0.0370030551426103,-0.0785207965496838,0.0042217921617873,0.082,0.1381189755452609,-0.009721405964566,0.0680103037959152,0.0978795925410173,0.7386166820126239,0,1,734,"ANATOMIC OCCLUSION. Δ AUROC -0.0370 (95% CI -0.0785, +0.0042). The interval includes zero, so this row does not establish a compartment ranking. Interpret the direction and size of the mean risk shift, not the ordering of Δ AUROC across regions.",38.64837098121643
m2_frontal,keep_joint_only,keep only joint,734,106,0.8023569510851642,-0.0343349021808252,-0.0722629214355853,0.0040641053245362,0.084,0.1500821945298124,0.0022418130199853,0.0622196184477803,0.0894870590070596,0.7911218105867609,0,1,734,"ANATOMIC OCCLUSION. Δ AUROC -0.0343 (95% CI -0.0723, +0.0041). The interval includes zero, so this row does not establish a compartment ranking. Interpret the direction and size of the mean risk shift, not the ordering of Δ AUROC across regions.",39.28999972343445
m2_frontal,keep_border_only,keep only border,734,106,0.4974188281391788,-0.3392730251268107,-0.3955745907644915,-0.2799210546900016,0.0,0.0382062452352207,-0.1096341362746063,0.1159899375054304,0.1444212240479023,0.093477559547664,0,676,59,"DEGENERATE INPUT - NOT A TEXT-LEAKAGE TEST. The 31-px band is already zeroed by the published preprocessing pipeline, so for most patients the border-only input is an all-black image: 676 of 734 patients receive the identical risk 0.0377898020 and only 59 distinct risks exist across the split. The resulting AUROC is the AUROC of a near-constant predictor, forced to about 0.5 by construction; it is evidence that the input was destroyed, not that the model ignores burned-in text. Read it as a degenerate-input / pipeline check. The informative leakage evidence is mask_residual_markers and the widened bands (border_62px, border_93px).",39.25313210487366
m2_frontal,border_62px,border widened to 62 px,734,106,0.8328750645994666,-0.0038167886665229,-0.018003178728777,0.0114669657585745,0.608,0.1554873959730484,0.0076470144632213,0.021776460641187,0.0341620683278037,0.9680863061589396,0,1,734,"MASKING SENSITIVITY. The band is widened well beyond the published 31 px, which removes peri-articular anatomy as well as any residual text, so Δ AUROC -0.0038 (95% CI -0.0180, +0.0115) is an UPPER BOUND on what the widened band could have carried, not a text-leakage estimate. The interval includes zero.",38.781461000442505
m2_frontal,border_93px,border widened to 93 px,734,106,0.8212560515461776,-0.0154358017198118,-0.041362305096281,0.0101584042301388,0.232,0.1548260761099723,0.0069856946001453,0.0417858172111715,0.0614548158560017,0.8974643552623105,0,1,734,"MASKING SENSITIVITY. The band is widened well beyond the published 31 px, which removes peri-articular anatomy as well as any residual text, so Δ AUROC -0.0154 (95% CI -0.0414, +0.0102) is an UPPER BOUND on what the widened band could have carried, not a text-leakage estimate. The interval includes zero.",38.80436301231384
