arm,condition,views_supplied,n_patients_scored,n_patients_common,auroc_5y,delta_auroc,delta_auroc_lo,delta_auroc_hi,p_boot,mean_risk_5y,mean_delta_risk_5y,mean_abs_delta_risk_5y,spearman_vs_all_views,note
m3_image,all_views,frontal+lateral+sunrise,740,315,0.8236564816132936,0.0,,,1.0,0.1893419795966088,0.0,0.0,1.0,"n_patients_common is a PAIRED-ANALYSIS DENOMINATOR, not a count of multi-view patients: it is the intersection of the rosters of all four view conditions, i.e. the patients every condition in this contrast can score, which requires at least one frontal crop (for frontal_only) and at least one non-frontal crop (for non_frontal_only). On this test split that is 315. The neighbouring counts are different quantities and must not be substituted for it: 316 patients hold two or more DISTINCT views (315 of them also hold a frontal, 1 does not); 321 of the 740 scored patients contribute at least one non-frontal crop; 6 have no frontal crop at all; and the 322 in the 'Multiple views' row of outputs/tables/test_subgroups.csv is a pre-preprocessing label (final_cohort.view_set != 'frontal') that additionally counts one patient whose lateral crop did not survive preprocessing. n_patients_scored is the roster of that single condition; every AUROC and Δ in this table is computed on n_patients_common."
m3_image,frontal_only,frontal,734,315,0.746057973258175,-0.0775985083551186,-0.1424094584007653,-0.012202983679658,0.024,0.0857144643518748,-0.103627515244734,0.1140081619469282,0.6768857764826482,"n_patients_common is a PAIRED-ANALYSIS DENOMINATOR, not a count of multi-view patients: it is the intersection of the rosters of all four view conditions, i.e. the patients every condition in this contrast can score, which requires at least one frontal crop (for frontal_only) and at least one non-frontal crop (for non_frontal_only). On this test split that is 315. The neighbouring counts are different quantities and must not be substituted for it: 316 patients hold two or more DISTINCT views (315 of them also hold a frontal, 1 does not); 321 of the 740 scored patients contribute at least one non-frontal crop; 6 have no frontal crop at all; and the 322 in the 'Multiple views' row of outputs/tables/test_subgroups.csv is a pre-preprocessing label (final_cohort.view_set != 'frontal') that additionally counts one patient whose lateral crop did not survive preprocessing. n_patients_scored is the roster of that single condition; every AUROC and Δ in this table is computed on n_patients_common."
m3_image,drop_sunrise,frontal+lateral,737,315,0.827243750968849,0.0035872693555553,-0.0032134005122502,0.0134405873799309,0.423,0.1866133876566064,-0.0027285919400023,0.0044209021409484,0.981699895954512,"n_patients_common is a PAIRED-ANALYSIS DENOMINATOR, not a count of multi-view patients: it is the intersection of the rosters of all four view conditions, i.e. the patients every condition in this contrast can score, which requires at least one frontal crop (for frontal_only) and at least one non-frontal crop (for non_frontal_only). On this test split that is 315. The neighbouring counts are different quantities and must not be substituted for it: 316 patients hold two or more DISTINCT views (315 of them also hold a frontal, 1 does not); 321 of the 740 scored patients contribute at least one non-frontal crop; 6 have no frontal crop at all; and the 322 in the 'Multiple views' row of outputs/tables/test_subgroups.csv is a pre-preprocessing label (final_cohort.view_set != 'frontal') that additionally counts one patient whose lateral crop did not survive preprocessing. n_patients_scored is the roster of that single condition; every AUROC and Δ in this table is computed on n_patients_common."
m3_image,non_frontal_only,lateral+sunrise,321,315,0.8426200298236428,0.0189635482103491,-0.0258205133882988,0.0662555288924754,0.429,0.242954580908368,0.0536126013117592,0.0653539349927579,0.904324222634309,"n_patients_common is a PAIRED-ANALYSIS DENOMINATOR, not a count of multi-view patients: it is the intersection of the rosters of all four view conditions, i.e. the patients every condition in this contrast can score, which requires at least one frontal crop (for frontal_only) and at least one non-frontal crop (for non_frontal_only). On this test split that is 315. The neighbouring counts are different quantities and must not be substituted for it: 316 patients hold two or more DISTINCT views (315 of them also hold a frontal, 1 does not); 321 of the 740 scored patients contribute at least one non-frontal crop; 6 have no frontal crop at all; and the 322 in the 'Multiple views' row of outputs/tables/test_subgroups.csv is a pre-preprocessing label (final_cohort.view_set != 'frontal') that additionally counts one patient whose lateral crop did not survive preprocessing. n_patients_scored is the roster of that single condition; every AUROC and Δ in this table is computed on n_patients_common."
m2_frontal (reference),trained_frontal_only,frontal,315,315,0.7672617055261017,-0.0563947760871919,-0.1259521910024487,0.0138861593691054,0.125,0.1943063415765274,0.0049643619799186,0.1051745890668399,0.6442842169521199,"n_patients_common is a PAIRED-ANALYSIS DENOMINATOR, not a count of multi-view patients: it is the intersection of the rosters of all four view conditions, i.e. the patients every condition in this contrast can score, which requires at least one frontal crop (for frontal_only) and at least one non-frontal crop (for non_frontal_only). On this test split that is 315. The neighbouring counts are different quantities and must not be substituted for it: 316 patients hold two or more DISTINCT views (315 of them also hold a frontal, 1 does not); 321 of the 740 scored patients contribute at least one non-frontal crop; 6 have no frontal crop at all; and the 322 in the 'Multiple views' row of outputs/tables/test_subgroups.csv is a pre-preprocessing label (final_cohort.view_set != 'frontal') that additionally counts one patient whose lateral crop did not survive preprocessing. n_patients_scored is the roster of that single condition; every AUROC and Δ in this table is computed on n_patients_common."
m4_fusion,all_views,frontal+lateral+sunrise,740,315,0.8073207127309014,0.0,,,1.0,0.221557577703062,0.0,0.0,1.0,"n_patients_common is a PAIRED-ANALYSIS DENOMINATOR, not a count of multi-view patients: it is the intersection of the rosters of all four view conditions, i.e. the patients every condition in this contrast can score, which requires at least one frontal crop (for frontal_only) and at least one non-frontal crop (for non_frontal_only). On this test split that is 315. The neighbouring counts are different quantities and must not be substituted for it: 316 patients hold two or more DISTINCT views (315 of them also hold a frontal, 1 does not); 321 of the 740 scored patients contribute at least one non-frontal crop; 6 have no frontal crop at all; and the 322 in the 'Multiple views' row of outputs/tables/test_subgroups.csv is a pre-preprocessing label (final_cohort.view_set != 'frontal') that additionally counts one patient whose lateral crop did not survive preprocessing. n_patients_scored is the roster of that single condition; every AUROC and Δ in this table is computed on n_patients_common."
m4_fusion,frontal_only,frontal,734,315,0.7444321545439309,-0.0628885581869705,-0.131001819282825,0.0010364669807889,0.056,0.1050660010252181,-0.1164915766778438,0.1268025433174275,0.6879280358438628,"n_patients_common is a PAIRED-ANALYSIS DENOMINATOR, not a count of multi-view patients: it is the intersection of the rosters of all four view conditions, i.e. the patients every condition in this contrast can score, which requires at least one frontal crop (for frontal_only) and at least one non-frontal crop (for non_frontal_only). On this test split that is 315. The neighbouring counts are different quantities and must not be substituted for it: 316 patients hold two or more DISTINCT views (315 of them also hold a frontal, 1 does not); 321 of the 740 scored patients contribute at least one non-frontal crop; 6 have no frontal crop at all; and the 322 in the 'Multiple views' row of outputs/tables/test_subgroups.csv is a pre-preprocessing label (final_cohort.view_set != 'frontal') that additionally counts one patient whose lateral crop did not survive preprocessing. n_patients_scored is the roster of that single condition; every AUROC and Δ in this table is computed on n_patients_common."
m4_fusion,drop_sunrise,frontal+lateral,737,315,0.8066851926629282,-0.0006355200679732,-0.0136553918999511,0.0136554223015692,0.882,0.2177942160138512,-0.0037633616892108,0.005698908479869,0.9740381551314392,"n_patients_common is a PAIRED-ANALYSIS DENOMINATOR, not a count of multi-view patients: it is the intersection of the rosters of all four view conditions, i.e. the patients every condition in this contrast can score, which requires at least one frontal crop (for frontal_only) and at least one non-frontal crop (for non_frontal_only). On this test split that is 315. The neighbouring counts are different quantities and must not be substituted for it: 316 patients hold two or more DISTINCT views (315 of them also hold a frontal, 1 does not); 321 of the 740 scored patients contribute at least one non-frontal crop; 6 have no frontal crop at all; and the 322 in the 'Multiple views' row of outputs/tables/test_subgroups.csv is a pre-preprocessing label (final_cohort.view_set != 'frontal') that additionally counts one patient whose lateral crop did not survive preprocessing. n_patients_scored is the roster of that single condition; every AUROC and Δ in this table is computed on n_patients_common."
m4_fusion,non_frontal_only,lateral+sunrise,321,315,0.8139096939485063,0.0065889812176048,-0.0323920077157682,0.0488513948962492,0.775,0.2315924614062023,0.0100348837031403,0.031352827779666,0.9354411183162292,"n_patients_common is a PAIRED-ANALYSIS DENOMINATOR, not a count of multi-view patients: it is the intersection of the rosters of all four view conditions, i.e. the patients every condition in this contrast can score, which requires at least one frontal crop (for frontal_only) and at least one non-frontal crop (for non_frontal_only). On this test split that is 315. The neighbouring counts are different quantities and must not be substituted for it: 316 patients hold two or more DISTINCT views (315 of them also hold a frontal, 1 does not); 321 of the 740 scored patients contribute at least one non-frontal crop; 6 have no frontal crop at all; and the 322 in the 'Multiple views' row of outputs/tables/test_subgroups.csv is a pre-preprocessing label (final_cohort.view_set != 'frontal') that additionally counts one patient whose lateral crop did not survive preprocessing. n_patients_scored is the roster of that single condition; every AUROC and Δ in this table is computed on n_patients_common."
m2_frontal (reference),trained_frontal_only,frontal,315,315,0.7672617055261017,-0.0400590072047997,-0.1092329794264637,0.0313277950187412,0.28,0.1943063415765274,-0.0272512361265345,0.1117861012635959,0.6451081343607347,"n_patients_common is a PAIRED-ANALYSIS DENOMINATOR, not a count of multi-view patients: it is the intersection of the rosters of all four view conditions, i.e. the patients every condition in this contrast can score, which requires at least one frontal crop (for frontal_only) and at least one non-frontal crop (for non_frontal_only). On this test split that is 315. The neighbouring counts are different quantities and must not be substituted for it: 316 patients hold two or more DISTINCT views (315 of them also hold a frontal, 1 does not); 321 of the 740 scored patients contribute at least one non-frontal crop; 6 have no frontal crop at all; and the 322 in the 'Multiple views' row of outputs/tables/test_subgroups.csv is a pre-preprocessing label (final_cohort.view_set != 'frontal') that additionally counts one patient whose lateral crop did not survive preprocessing. n_patients_scored is the roster of that single condition; every AUROC and Δ in this table is computed on n_patients_common."
