model,scope,subgroup,metric,horizon_years,horizon_days,n,n_events,estimate,ci_lo,ci_hi,suppressed,note
M0_primary,overall,,harrell_cindex,,,371.0,54.0,0.6007644197359278,0.5259350186722335,0.6763720242471565,False,interpret via CI: 54 events < 100
M0_primary,overall,,harrell_cindex_train_apparent,,,2597.0,373.0,0.6142748747029811,,,False,"apparent (in-sample) discrimination, for the optimism gap only"
M0_primary,overall,,ipcw_cd_auroc,1.0,365.0,371.0,34.0,0.6337875529986747,0.5397013498233691,0.729277482952227,False,interpret via CI: 54 events < 100
M0_primary,overall,,calibration_slope,1.0,365.0,371.0,34.0,1.0167225225547625,0.3232747101771885,1.8734634770367382,False,interpret via CI: 54 events < 100
M0_primary,overall,,calibration_intercept_cloglog,1.0,365.0,371.0,34.0,0.04653180098672851,-0.3447346734772912,0.35088809699597007,False,interpret via CI: 54 events < 100
M0_primary,overall,,mean_predicted_risk,1.0,365.0,371.0,34.0,0.10052789622235322,0.0964830849718504,0.10513986981080392,False,interpret via CI: 54 events < 100
M0_primary,overall,,km_observed_risk,1.0,365.0,371.0,34.0,0.10414292401239011,0.07227566037023112,0.13724770953924598,False,interpret via CI: 54 events < 100
M0_primary,overall,,calibration_in_the_large_risk_diff,1.0,365.0,371.0,34.0,0.00361502779003689,-0.028095196565104074,0.0372229181295335,False,interpret via CI: 54 events < 100
M0_primary,overall,,ipcw_cd_auroc_G_from_val,1.0,365.0,371.0,34.0,0.6336032987357868,,,False,robustness: censoring curve estimated on val instead of train
M0_primary,overall,,ipcw_cd_auroc,2.0,730.0,371.0,46.0,0.6171922159203449,0.5357131017556608,0.7056030050675977,False,interpret via CI: 54 events < 100
M0_primary,overall,,calibration_slope,2.0,730.0,371.0,46.0,0.8161978952459006,0.29986239066338555,1.491189597733938,False,interpret via CI: 54 events < 100
M0_primary,overall,,calibration_intercept_cloglog,2.0,730.0,371.0,46.0,0.09860961599800327,-0.235878067521809,0.40524719934135944,False,interpret via CI: 54 events < 100
M0_primary,overall,,mean_predicted_risk,2.0,730.0,371.0,46.0,0.14019202685129056,0.1347101872655685,0.1464848992445013,False,interpret via CI: 54 events < 100
M0_primary,overall,,km_observed_risk,2.0,730.0,371.0,46.0,0.15218226729249074,0.11421809944856984,0.19811757723975085,False,interpret via CI: 54 events < 100
