covariate,test_statistic,p_value,holm_p,violates_ph,alpha,adjustment,time_transform
obesity_imp,1.6914184951093243,0.19341408581471184,0.9699714812560236,False,0.05,holm,km
autoimmune_imp,1.3599568896067995,0.24354495313566296,0.9699714812560236,False,0.05,holm,km
nicotine_use_imp,1.1807878105077554,0.2771956713522269,0.9699714812560236,False,0.05,holm,km
knee_pain_any_imp,0.7592947564179008,0.3835493169567811,0.9699714812560236,False,0.05,holm,km
hypertension_imp,0.687028927760853,0.4071767946983851,0.9699714812560236,False,0.05,holm,km
pain_score_max_imp,0.5414928656304393,0.4618146922497658,0.9699714812560236,False,0.05,holm,km
sex_female_imp,0.536323432968167,0.4639604217568173,0.9699714812560236,False,0.05,holm,km
days_to_index_imp,0.1998708523980207,0.654825110434889,0.9699714812560236,False,0.05,holm,km
age_rcs2,0.00941475329759008,0.9227028469381183,0.9699714812560236,False,0.05,holm,km
diabetes_imp,0.009068884508302183,0.9241315928652212,0.9699714812560236,False,0.05,holm,km
age_rcs3,0.002233402389896441,0.9623068949584144,0.9699714812560236,False,0.05,holm,km
trauma_lower_extremity_imp,0.00213112081839266,0.9631794845801327,0.9699714812560236,False,0.05,holm,km
age_rcs1,0.0014170749458353418,0.9699714812560236,0.9699714812560236,False,0.05,holm,km
