model,description,scope,metric,horizon_years,horizon_days,n,n_events,estimate,ci_lo,ci_hi,n_parameters,identified_parameters,penalizer,p_two_sided
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,harrell_cindex,,,359,52,0.5875112578805164,0.5118052839050795,0.6642774869020988,,,,
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,ipcw_cd_auroc,0.999,365.0,359,52,0.6191195981493904,0.5195693973672193,0.7253242605706574,,,,
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,calibration_slope,0.999,365.0,359,52,0.9621191844475305,0.22693670085543804,1.8832542533213035,,,,
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,mean_predicted_risk,0.999,365.0,359,52,0.10048241398957575,0.09645858644099635,0.10514837170765226,,,,
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,km_observed_risk,0.999,365.0,359,52,0.1016608937650274,0.07118953352126955,0.13457531239102152,,,,
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,calibration_in_the_large_risk_diff,0.999,365.0,359,52,0.0011784797754516574,-0.02882041577117531,0.03521992882240221,,,,
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,ipcw_cd_auroc,1.999,730.0,359,52,0.6064038619698192,0.5280884310062959,0.6931650797028028,,,,
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,calibration_slope,1.999,730.0,359,52,0.7880831908900763,0.26361020285625164,1.4679282163589502,,,,
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,mean_predicted_risk,1.999,730.0,359,52,0.14015004822386695,0.13469464060622782,0.14645322491131652,,,,
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,km_observed_risk,1.999,730.0,359,52,0.15122066795127853,0.11471998978986771,0.19517126396170092,,,,
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,calibration_in_the_large_risk_diff,1.999,730.0,359,52,0.01107061972741158,-0.025160203126778677,0.05550859746395229,,,,
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,ipcw_cd_auroc,4.997,1825.0,359,52,0.6862561379975849,0.5934914328440207,0.7765562135967964,,,,
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,calibration_slope,4.997,1825.0,359,52,1.3819167751769885,0.7703984338117815,2.1622287733139545,,,,
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,mean_predicted_risk,4.997,1825.0,359,52,0.20998088880051055,0.20224694832251008,0.21886716066033568,,,,
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,km_observed_risk,4.997,1825.0,359,52,0.19956150282017637,0.14682876958209987,0.25549083171167497,,,,
M0_as_fitted,"M0 as published (full-cohort fit), evaluated on the eligible validation patients",klg_eligible_val,calibration_in_the_large_risk_diff,4.997,1825.0,359,52,-0.010419385980334178,-0.06429774602703488,0.04633234217142597,,,,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,harrell_cindex,,,359,52,0.5848093665565897,0.5029831436877377,0.6612868999239513,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,ipcw_cd_auroc,0.999,365.0,359,52,0.6161876133087065,0.5152184354673331,0.719301565829283,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,calibration_slope,0.999,365.0,359,52,0.9677500212065182,0.19767012308366605,1.8903919961482885,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,mean_predicted_risk,0.999,365.0,359,52,0.09596227240631815,0.09215485213279888,0.10036822046741997,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,km_observed_risk,0.999,365.0,359,52,0.1016608937650274,0.07118953352126955,0.13457531239102152,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,calibration_in_the_large_risk_diff,0.999,365.0,359,52,0.005698621358709258,-0.02432024126740231,0.03959514632499811,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,ipcw_cd_auroc,1.999,730.0,359,52,0.606482557619057,0.5239435022566847,0.6918762146335773,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,calibration_slope,1.999,730.0,359,52,0.8064103259870924,0.2495508459253167,1.49437540582035,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,mean_predicted_risk,1.999,730.0,359,52,0.13597192532377475,0.13074009546384713,0.14207042240595535,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,km_observed_risk,1.999,730.0,359,52,0.15122066795127853,0.11471998978986771,0.19517126396170092,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,calibration_in_the_large_risk_diff,1.999,730.0,359,52,0.01524874262750378,-0.020645911083079827,0.059447963625628764,13.0,12.0,0.001,
M0_refit_eligible,M0 refitted on the KLG-eligible training rows (the like-for-like anchor),klg_eligible_val,ipcw_cd_auroc,4.997,1825.0,359,52,0.688493786505726,0.5976357499696412,0.7782818014625786,13.0,12.0,0.001,
