label,strategy,window_days,n_index,n_final_cohort,primary_events,test_allocatable_20pct,clears_500,clears_100,pct_index_recovered,black_events,white_events,asian_events,female_events,male_events,age_lt65_events,age_ge65_events
PRELIMINARY,strict,365,4222,1664,357,71,False,False,0.0,109,212,8,227,130,153,204
PRELIMINARY,strict,730,4222,1881,394,79,False,False,0.0,117,238,9,251,143,165,229
PRELIMINARY,strict,1095,4222,1967,406,81,False,False,0.0,122,244,9,260,146,169,237
PRELIMINARY,strict,lifetime,4222,2092,420,84,False,False,0.0,127,252,9,269,151,173,247
PRELIMINARY,recovery_any,365,7205,3372,489,98,False,False,50.652,144,299,12,314,175,212,277
PRELIMINARY,recovery_any,730,7205,3709,533,107,True,True,49.286,156,328,13,342,191,228,305
PRELIMINARY,recovery_any,1095,7205,3842,547,109,True,True,48.803,161,335,14,353,194,232,315
PRELIMINARY,recovery_any,lifetime,7205,4044,564,113,True,True,48.269,166,346,14,363,201,237,327
PRELIMINARY,recovery_confirmed,365,6903,3216,473,95,False,False,48.259,141,287,12,302,171,207,266
PRELIMINARY,recovery_confirmed,730,6903,3541,517,103,True,True,46.879,153,316,13,330,187,223,294
PRELIMINARY,recovery_confirmed,1095,6903,3670,531,106,True,True,46.403,158,323,14,341,190,227,304
PRELIMINARY,recovery_confirmed,lifetime,6903,3866,547,109,True,True,45.887,163,333,14,351,196,231,316
