arm,specification,kl_form,n_patients,n_events,term,coef,se,hr,hr_lo,hr_hi,p_wald,p_wald_text,ph_p,is_score_term,score_sd,ll_full,ll_reference,lr_chi2,lr_df,lr_p,lr_p_text,note
m2_frontal,kl_linear,"numeric grade, linear (primary)",707,98,kl,0.040391,0.128724,1.041217,0.809043,1.34002,0.75369,0.754,0.413559,False,1.092169,-552.946204,-585.81895,65.745492,1.0,0.0,5.13e-16,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; hazard ratio for score_z is per 1 SD of the model risk score (cloglog of the 5-year predicted risk, standardized on this analysis set); the likelihood-ratio test is this model against the same model without score_z, 1 df; the _text p columns carry three significant figures because the numeric ones are rounded to six decimals by the house CSV writer"
m2_frontal,kl_linear,"numeric grade, linear (primary)",707,98,score_z,1.101074,0.14611,3.007394,2.258505,4.004603,0.0,4.85e-14,0.817015,True,1.092169,-552.946204,-585.81895,65.745492,1.0,0.0,5.13e-16,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; hazard ratio for score_z is per 1 SD of the model risk score (cloglog of the 5-year predicted risk, standardized on this analysis set); the likelihood-ratio test is this model against the same model without score_z, 1 df; the _text p columns carry three significant figures because the numeric ones are rounded to six decimals by the house CSV writer"
m2_frontal,kl_categorical,"three kl3 strata, KL 0-1 reference",707,98,kl_KL2,0.99379,0.614433,2.701454,0.810198,9.007496,0.10579,0.106,0.411093,False,1.092169,-551.155963,-585.762309,69.212692,1.0,0.0,8.84e-17,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; hazard ratio for score_z is per 1 SD of the model risk score (cloglog of the 5-year predicted risk, standardized on this analysis set); the likelihood-ratio test is this model against the same model without score_z, 1 df; the _text p columns carry three significant figures because the numeric ones are rounded to six decimals by the house CSV writer"
m2_frontal,kl_categorical,"three kl3 strata, KL 0-1 reference",707,98,kl_KL3_4,0.761004,0.627788,2.140424,0.625353,7.32612,0.225436,0.225,0.406935,False,1.092169,-551.155963,-585.762309,69.212692,1.0,0.0,8.84e-17,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; hazard ratio for score_z is per 1 SD of the model risk score (cloglog of the 5-year predicted risk, standardized on this analysis set); the likelihood-ratio test is this model against the same model without score_z, 1 df; the _text p columns carry three significant figures because the numeric ones are rounded to six decimals by the house CSV writer"
m2_frontal,kl_categorical,"three kl3 strata, KL 0-1 reference",707,98,score_z,1.110151,0.142624,3.034817,2.294725,4.013604,0.0,7.04e-15,0.613532,True,1.092169,-551.155963,-585.762309,69.212692,1.0,0.0,8.84e-17,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; hazard ratio for score_z is per 1 SD of the model risk score (cloglog of the 5-year predicted risk, standardized on this analysis set); the likelihood-ratio test is this model against the same model without score_z, 1 df; the _text p columns carry three significant figures because the numeric ones are rounded to six decimals by the house CSV writer"
m2_frontal,kl_stratified,baseline hazard stratified by the three kl3 strata,707,98,score_z,1.100876,0.142319,3.006798,2.2749,3.974168,0.0,1.03e-14,0.770403,True,1.092169,-479.212255,-513.370009,68.31551,1.0,0.0,1.39e-16,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; hazard ratio for score_z is per 1 SD of the model risk score (cloglog of the 5-year predicted risk, standardized on this analysis set); the likelihood-ratio test is this model against the same model without score_z, 1 df; the _text p columns carry three significant figures because the numeric ones are rounded to six decimals by the house CSV writer"
m2_frontal,score_only,no KL term (unadjusted),707,98,score_z,1.127079,0.120871,3.086628,2.43556,3.911738,0.0,1.11e-20,0.40883,True,1.092169,-552.995644,-604.020416,102.049545,1.0,0.0,5.42e-24,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; hazard ratio for score_z is per 1 SD of the model risk score (cloglog of the 5-year predicted risk, standardized on this analysis set); the likelihood-ratio test is this model against the same model without score_z, 1 df; the _text p columns carry three significant figures because the numeric ones are rounded to six decimals by the house CSV writer"
m4_fusion,kl_linear,"numeric grade, linear (primary)",707,98,kl,0.154059,0.121794,1.166559,0.91883,1.481079,0.205904,0.206,0.47599,False,1.309462,-550.999726,-585.81895,69.63845,1.0,0.0,7.12e-17,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; hazard ratio for score_z is per 1 SD of the model risk score (cloglog of the 5-year predicted risk, standardized on this analysis set); the likelihood-ratio test is this model against the same model without score_z, 1 df; the _text p columns carry three significant figures because the numeric ones are rounded to six decimals by the house CSV writer"
m4_fusion,kl_linear,"numeric grade, linear (primary)",707,98,score_z,1.014338,0.125699,2.757537,2.155392,3.527902,0.0,7.05e-16,0.866832,True,1.309462,-550.999726,-585.81895,69.63845,1.0,0.0,7.12e-17,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; hazard ratio for score_z is per 1 SD of the model risk score (cloglog of the 5-year predicted risk, standardized on this analysis set); the likelihood-ratio test is this model against the same model without score_z, 1 df; the _text p columns carry three significant figures because the numeric ones are rounded to six decimals by the house CSV writer"
m4_fusion,kl_categorical,"three kl3 strata, KL 0-1 reference",707,98,kl_KL2,1.129378,0.610288,3.093732,0.935416,10.232005,0.064232,0.0642,0.415397,False,1.309462,-549.471442,-585.762309,72.581733,1.0,0.0,1.6e-17,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; hazard ratio for score_z is per 1 SD of the model risk score (cloglog of the 5-year predicted risk, standardized on this analysis set); the likelihood-ratio test is this model against the same model without score_z, 1 df; the _text p columns carry three significant figures because the numeric ones are rounded to six decimals by the house CSV writer"
m4_fusion,kl_categorical,"three kl3 strata, KL 0-1 reference",707,98,kl_KL3_4,1.067328,0.614056,2.9076,0.872668,9.687696,0.082183,0.0822,0.415181,False,1.309462,-549.471442,-585.762309,72.581733,1.0,0.0,1.6e-17,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; hazard ratio for score_z is per 1 SD of the model risk score (cloglog of the 5-year predicted risk, standardized on this analysis set); the likelihood-ratio test is this model against the same model without score_z, 1 df; the _text p columns carry three significant figures because the numeric ones are rounded to six decimals by the house CSV writer"
m4_fusion,kl_categorical,"three kl3 strata, KL 0-1 reference",707,98,score_z,1.032003,0.125178,2.806683,2.196048,3.587111,0.0,1.66e-16,0.978786,True,1.309462,-549.471442,-585.762309,72.581733,1.0,0.0,1.6e-17,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; hazard ratio for score_z is per 1 SD of the model risk score (cloglog of the 5-year predicted risk, standardized on this analysis set); the likelihood-ratio test is this model against the same model without score_z, 1 df; the _text p columns carry three significant figures because the numeric ones are rounded to six decimals by the house CSV writer"
m4_fusion,kl_stratified,baseline hazard stratified by the three kl3 strata,707,98,score_z,1.033192,0.125992,2.81002,2.195153,3.597113,0.0,2.39e-16,0.901125,True,1.309462,-477.284308,-513.370009,72.171404,1.0,0.0,1.97e-17,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; hazard ratio for score_z is per 1 SD of the model risk score (cloglog of the 5-year predicted risk, standardized on this analysis set); the likelihood-ratio test is this model against the same model without score_z, 1 df; the _text p columns carry three significant figures because the numeric ones are rounded to six decimals by the house CSV writer"
m4_fusion,score_only,no KL term (unadjusted),707,98,score_z,1.093337,0.110352,2.984216,2.403799,3.704778,0.0,3.85e-23,0.870008,True,1.309462,-551.814934,-604.020416,104.410965,1.0,0.0,1.64e-24,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; hazard ratio for score_z is per 1 SD of the model risk score (cloglog of the 5-year predicted risk, standardized on this analysis set); the likelihood-ratio test is this model against the same model without score_z, 1 df; the _text p columns carry three significant figures because the numeric ones are rounded to six decimals by the house CSV writer"
