arm,scheme,stratum,stratum_order,tertile,tertile_label,horizon_days,n_patients,n_events,n_at_risk_horizon,min_predicted_risk,max_predicted_risk,mean_predicted_risk,km_cumulative_incidence,km_ci_lo,km_ci_hi,n_stratum_patients,n_stratum_events,logrank_chi2,logrank_df,logrank_p,logrank_p_text,note
m2_frontal,kl3,All KL grades,0,1,Lowest tertile,1825,236,7,85,0.007679,0.052575,0.030089,0.043093,0.020401,0.08984,707,98,102.069635,2.0,0.0,6.85e-23,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m2_frontal,kl3,All KL grades,0,2,Middle tertile,1825,236,22,46,0.052687,0.154509,0.093274,0.154175,0.100505,0.232562,707,98,102.069635,2.0,0.0,6.85e-23,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m2_frontal,kl3,All KL grades,0,3,Highest tertile,1825,235,69,20,0.154637,0.722295,0.299255,0.448933,0.361521,0.546811,707,98,102.069635,2.0,0.0,6.85e-23,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m2_frontal,kl3,KL 0-1,1,1,Lowest tertile,1825,48,1,19,0.007679,0.024657,0.018194,0.04,0.005733,0.251615,144,3,0.165502,2.0,0.92058,0.921,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m2_frontal,kl3,KL 0-1,1,2,Middle tertile,1825,48,1,8,0.024767,0.052173,0.036274,0.02439,0.003472,0.160798,144,3,0.165502,2.0,0.92058,0.921,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m2_frontal,kl3,KL 0-1,1,3,Highest tertile,1825,48,1,4,0.053902,0.272664,0.102275,0.058824,0.008501,0.349821,144,3,0.165502,2.0,0.92058,0.921,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m2_frontal,kl3,KL 2,2,1,Lowest tertile,1825,89,3,38,0.009591,0.04406,0.028607,0.045235,0.014488,0.136558,266,30,18.718734,2.0,8.6e-05,8.62e-05,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m2_frontal,kl3,KL 2,2,2,Middle tertile,1825,89,9,14,0.044384,0.107027,0.068054,0.17008,0.087173,0.316852,266,30,18.718734,2.0,8.6e-05,8.62e-05,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m2_frontal,kl3,KL 2,2,3,Highest tertile,1825,88,18,7,0.107885,0.570628,0.202662,0.293316,0.189183,0.437142,266,30,18.718734,2.0,8.6e-05,8.62e-05,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
m2_frontal,kl3,KL 3-4,3,1,Lowest tertile,1825,99,8,38,0.00949,0.123572,0.068004,0.112615,0.057188,0.215261,297,65,35.311952,2.0,0.0,2.15e-08,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; cause-agnostic cumulative incidence; death is not ascertainable in this data source, so competing mortality is unmeasured; tertiles are formed within the stratum, and the log-rank test across them is exploratory and unadjusted; logrank_p_text carries the p to three significant figures because logrank_p is rounded to six decimals by the house CSV writer"
