arm,scheme,stratum,stratum_order,n_patients,n_events,metric,horizon_days,estimate,ci_lo,ci_hi,ci_width,wide_interval,suppressed,suppression_reason,note
m2_frontal,kl3,KL 0-1,1,144,3,auc,1825,,,,,False,True,protocol section 21: fewer than 50 events (3 in this stratum),POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: klg_contra < 1.5
m2_frontal,kl3,KL 2,2,266,30,auc,1825,,,,,False,True,protocol section 21: fewer than 50 events (30 in this stratum),POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: 1.5 <= klg_contra < 2.5
m2_frontal,kl3,KL 3-4,3,297,65,auc,1825,0.801791,0.716244,0.879705,0.163462,True,False,,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: klg_contra >= 2.5; WIDE INTERVAL: the 95% interval spans 0.163, at or above the 0.15 flag, which is the top of the range spanned by the six published test-split subgroup estimates; this stratum estimate is no more precise than the least precise subgroup already reported and must not be read as a difference from any other cell"
m2_frontal,kl2,KL 0-2,1,410,33,auc,1825,,,,,False,True,protocol section 21: fewer than 50 events (33 in this stratum),POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: klg_contra < 2.5
m2_frontal,kl2,KL 3-4,2,297,65,auc,1825,0.801791,0.716244,0.879705,0.163462,True,False,,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: klg_contra >= 2.5; WIDE INTERVAL: the 95% interval spans 0.163, at or above the 0.15 flag, which is the top of the range spanned by the six published test-split subgroup estimates; this stratum estimate is no more precise than the least precise subgroup already reported and must not be read as a difference from any other cell"
m2_frontal,kl3_tielow,KL 0-1,1,146,3,auc,1825,,,,,False,True,protocol section 21: fewer than 50 events (3 in this stratum),POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: klg_contra <= 1.5
m2_frontal,kl3_tielow,KL 2,2,278,33,auc,1825,,,,,False,True,protocol section 21: fewer than 50 events (33 in this stratum),POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: 1.5 < klg_contra <= 2.5
m2_frontal,kl3_tielow,KL 3-4,3,283,62,auc,1825,0.796659,0.709087,0.87679,0.167703,True,False,,"POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: klg_contra > 2.5; WIDE INTERVAL: the 95% interval spans 0.168, at or above the 0.15 flag, which is the top of the range spanned by the six published test-split subgroup estimates; this stratum estimate is no more precise than the least precise subgroup already reported and must not be read as a difference from any other cell"
m4_fusion,kl3,KL 0-1,1,144,3,auc,1825,,,,,False,True,protocol section 21: fewer than 50 events (3 in this stratum),POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: klg_contra < 1.5
m4_fusion,kl3,KL 2,2,266,30,auc,1825,,,,,False,True,protocol section 21: fewer than 50 events (30 in this stratum),POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: 1.5 <= klg_contra < 2.5
m4_fusion,kl3,KL 3-4,3,297,65,auc,1825,0.840749,0.763753,0.907778,0.144026,False,False,,POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: klg_contra >= 2.5
m4_fusion,kl2,KL 0-2,1,410,33,auc,1825,,,,,False,True,protocol section 21: fewer than 50 events (33 in this stratum),POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: klg_contra < 2.5
m4_fusion,kl2,KL 3-4,2,297,65,auc,1825,0.840749,0.763753,0.907778,0.144026,False,False,,POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: klg_contra >= 2.5
m4_fusion,kl3_tielow,KL 0-1,1,146,3,auc,1825,,,,,False,True,protocol section 21: fewer than 50 events (3 in this stratum),POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: klg_contra <= 1.5
m4_fusion,kl3_tielow,KL 2,2,278,33,auc,1825,,,,,False,True,protocol section 21: fewer than 50 events (33 in this stratum),POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: 1.5 < klg_contra <= 2.5
m4_fusion,kl3_tielow,KL 3-4,3,283,62,auc,1825,0.834965,0.756116,0.904272,0.148156,False,False,,POST HOC EXPLORATORY: specified after the single permitted read of the sealed test split and reported under deviation D35; not pre-specified and not confirmatory; stratum rule: klg_contra > 2.5
