arm,seed,epoch,train_nll,val_nll,train_val_gap,val_nll_above_own_min,lr,secs,improved,is_retained_epoch,epochs_from_retained,n_epochs_run,note
m0d_clinical,20250720,0,0.608663,0.6324,0.023737,0.003777,0.000506,7.87,True,False,-2,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250720,1,0.604542,0.628757,0.024215,0.000133,0.001,7.89,True,False,-1,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250720,2,0.595459,0.628623,0.033164,0.0,0.000998,7.82,True,True,0,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250720,3,0.587412,0.629468,0.042056,0.000845,0.000993,7.96,False,False,1,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250720,4,0.580242,0.632807,0.052565,0.004184,0.000985,7.98,False,False,2,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250720,5,0.576651,0.635683,0.059032,0.007059,0.000973,8.01,False,False,3,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250720,6,0.572429,0.639093,0.066664,0.01047,0.000958,7.89,False,False,4,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250720,7,0.569506,0.638637,0.069131,0.010014,0.00094,7.84,False,False,5,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250720,8,0.566862,0.642401,0.075539,0.013778,0.000919,7.93,False,False,6,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
m0d_clinical,20250720,9,0.562767,0.644771,0.082004,0.016148,0.000895,7.99,False,False,7,11,"LOWER BOUND, not a measured train-validation gap: train_nll is accumulated in model.train() mode with dropout 0.3 and augmentation active and averaged across the epoch while the weights update, while val_nll is a single clean eval-mode pass on the epoch-end weights. All three differences inflate train_nll and the gap is val_nll - train_nll, so the true gap is at least this large and by an unknown margin"
