arm,seed,n_epochs_run,retained_epoch,last_epoch,epochs_after_retained,train_nll_at_retained,val_nll_at_retained,gap_at_retained,val_nll_last,val_overfit_gap_last_minus_min,note
m0d_clinical,20250720,11,2,10,8,0.595459,0.628623,0.033164,0.645932,0.017309,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m0d_clinical,20250721,11,2,10,8,0.595435,0.628935,0.033501,0.650089,0.021153,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m0d_clinical,20250722,11,2,10,8,0.593973,0.628064,0.034091,0.647432,0.019368,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m0d_clinical,20250723,12,3,11,8,0.586613,0.629171,0.042558,0.653223,0.024052,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m0d_clinical,20250724,11,2,10,8,0.59347,0.630054,0.036584,0.653867,0.023813,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m1_klg,20250720,11,2,10,8,0.568636,0.619628,0.050992,0.653455,0.033827,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m1_klg,20250721,11,2,10,8,0.565203,0.620585,0.055382,0.655769,0.035184,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m1_klg,20250722,11,2,10,8,0.568086,0.61743,0.049344,0.654159,0.036728,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m1_klg,20250723,11,2,10,8,0.56747,0.621445,0.053975,0.651906,0.030461,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
m1_klg,20250724,11,2,10,8,0.566488,0.618621,0.052133,0.652766,0.034144,"val_overfit_gap in {val,test}_convergence.csv is val_nll[last] - min(val_nll), NOT a train-validation gap; at patience=8 the last epoch is always exactly 8 past the retained checkpoint, so it measures how far training ran AFTER the model that was kept. Use is_retained_epoch / gap_at_retained for the model that was actually scored"
