arm,family,subgroup,level,image_scope,metric,horizon_days,n_patients,n_events,n_cases_by_horizon,n_controls_beyond_horizon,estimate,ci_lo,ci_hi,ci_width,wide_interval,suppressed,suppression_reason,note
m2_frontal,imaging_weight_bearing,Frontal radiograph technique,Weight bearing,not applicable,auc,1825,673,101,101,133,0.881411,0.831808,0.924262,0.092454,False,False,,"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 101 case(s) with an event by 1825 d against 133 control(s) observed event-free beyond it"
m2_frontal,imaging_weight_bearing,Frontal radiograph technique,Weight bearing,not applicable,harrell_c,1825,673,101,101,133,0.791435,0.74942,0.828769,0.079349,False,False,,"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,imaging_weight_bearing,Frontal radiograph technique,Non weight bearing,not applicable,auc,1825,61,5,5,24,,,,,False,True,protocol section 21: fewer than 50 events (5 in this level),"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,imaging_weight_bearing,Frontal radiograph technique,Non weight bearing,not applicable,harrell_c,1825,61,5,5,24,,,,,False,True,protocol section 21: fewer than 50 events (5 in this level),"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,imaging_views,Imaging views,Frontal only,not applicable,auc,1825,418,37,37,94,,,,,False,True,protocol section 21: fewer than 50 events (37 in this level),"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,imaging_views,Imaging views,Frontal only,not applicable,harrell_c,1825,418,37,37,94,,,,,False,True,protocol section 21: fewer than 50 events (37 in this level),"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,imaging_views,Imaging views,Multiple views,not applicable,auc,1825,316,69,69,63,0.766702,0.678377,0.852722,0.174345,True,False,,"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | estimated on 69 case(s) with an event by 1825 d against 63 control(s) observed event-free beyond it | WIDE INTERVAL: the 95% interval spans 0.174, at or above the pre-declared 0.15 flag"
m2_frontal,imaging_views,Imaging views,Multiple views,not applicable,harrell_c,1825,316,69,69,63,0.716081,0.657051,0.768323,0.111272,False,False,,"POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
m2_frontal,laterality_source,Index laterality source,Coded laterality,not applicable,auc,1825,369,76,76,0,,,,,False,True,"not estimable: the IPCW AUROC at 1825 d compares patients with an event by 1825 days against patients observed event-free beyond it, and this level holds 76 of the former and 0 of the latter. This is undefined, not imprecise; read the horizon-free Harrell C row","side_source records how the INDEX operative side was established: 'coded' = an interpretable RT/LT modifier on the earliest CPT 27447; 'recovered' = rule-based reconciliation of concordant same-day-or-earlier CPT / ICD / image signals (deviation D2). It is not a neural-network output and must not be conflated with the model-inferred per-image laterality, view and horizontal-flip annotations (protocol section 23(i)). The recovered arm is the exposure the protocol section-7 audit was meant to validate; that audit is still unscored (D22), so this stratum measures the consequence of an unvalidated annotation. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it"
m2_frontal,laterality_source,Index laterality source,Coded laterality,not applicable,harrell_c,1825,369,76,76,0,0.728418,0.669452,0.780738,0.111286,False,False,,"side_source records how the INDEX operative side was established: 'coded' = an interpretable RT/LT modifier on the earliest CPT 27447; 'recovered' = rule-based reconciliation of concordant same-day-or-earlier CPT / ICD / image signals (deviation D2). It is not a neural-network output and must not be conflated with the model-inferred per-image laterality, view and horizontal-flip annotations (protocol section 23(i)). The recovered arm is the exposure the protocol section-7 audit was meant to validate; that audit is still unscored (D22), so this stratum measures the consequence of an unvalidated annotation. | POST HOC EXPLORATORY (deviation D35): specified after the single permitted read of the sealed test split, not before it | Harrell C is horizon free; horizon_days carries the primary horizon only because the schema has one column for it, not as a claim"
